caso,parola,frequenza,percentuale
0,glutine,4930,16.500435102751187
0,prodotti,4425,14.81022826159716
0,senza,3683,12.32679563558471
0,celiachia,3615,12.099203427270902
0,alimenti,3364,11.259120423053751
0,grano,2293,7.674543142111252
0,pasta,2037,6.817725416694557
0,salute,1950,6.526541267822478
0,italia,1869,6.2554387843898525
0,nuova,1712,5.729968538724145
1,mozzarella,465,25.992174399105643
1,blu,270,15.092230296254892
1,prodotti,246,13.750698714365567
1,latte,159,8.887646730016769
1,azienda,115,6.428172163219675
1,giorni,113,6.316377864728899
1,colorazione,111,6.204583566238122
1,italiani,106,5.925097820011179
1,consumatori,103,5.757406372275014
1,italia,101,5.645612073784237
2,alimenti,2320,18.130665833072833
2,cibi,1517,11.855267271022194
2,dieta,1508,11.784932791497344
2,integrali,1248,9.753047827446077
2,salute,1224,9.565489215379806
2,prodotti,1097,8.572991559862457
2,frutta,1037,8.10409502969678
2,consumo,984,7.689903094717099
2,mangiare,964,7.533604251328541
2,giorno,897,7.010003125976867
3,olio,5392,23.363230642575502
3,palma,4519,19.58057108193596
3,prodotti,2924,12.66952640928983
3,alimentare,2115,9.164175224229819
3,grassi,1963,8.505567832228433
3,consumatori,1760,7.625980328437107
3,latte,1153,4.995883703799992
3,salute,1147,4.96988604358941
3,aziende,1090,4.72290827158889
3,senza,1016,4.402270462325057
4,vegana,2222,19.316699991306617
4,animali,1569,13.639920020864121
4,alimentazione,1213,10.545075197774494
4,dieta,1199,10.423367817091194
4,carne,995,8.649917412848822
4,vegano,949,8.250021733460837
4,cucina,934,8.119620968443014
4,cibo,836,7.267669303659916
4,mangiare,808,7.024254542293315
4,vegetariani,778,6.763453012257672
5,coli,2659,12.206206390011017
5,batteri,2656,12.192434814542784
5,escherichia,2461,11.297282409107602
5,divieto,2342,10.751009915534338
5,mare,2294,10.5306647080426
5,arpat,1985,9.112192434814542
5,balneazione,1948,8.942343004039662
5,acqua,1913,8.781674623576938
5,acque,1796,8.244583180315828
5,comune,1730,7.9416085200146895
